Player,Position,Team,Pass_Yds,Pass_TD,Int,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Games_Pass_300,Games_Pass_400,Games_Comb_100,Games_Comb_200,Pass_40p,Rush_40p,Rec_20p
Jalen Coker,WR,CAR,0,0,0,6,0,59,738,5,0,0,0,0,0,0,
Michael Pittman Jr.,WR,PIT,0,0,0,7,0,68,748,4,0,0,0,0,0,0,
Matthew Golden,WR,GB,0,0,0,57,0,53,701,5,0,0,0,0,0,0,
Josh Downs,WR,IND,0,0,0,12,0,67,734,4,0,0,0,0,0,0,
Khalil Shakir,WR,BUF,0,0,0,10,0,69,725,4,0,0,0,0,0,0,
Wan'Dale Robinson,WR,TEN,0,0,0,15,0,66,685,4,0,0,0,0,0,0,
Omar Cooper Jr.,WR,NYJ,0,0,0,18,0,56,700,4,0,0,0,0,0,0,
KC Concepcion,WR,CLE,0,0,0,51,0,55,676,4,0,0,0,0,0,0,
Denzel Boston,WR,CLE,0,0,0,14,0,55,663,4,0,0,0,0,0,0,
Jalen Nailor,WR,LV,0,0,0,21,0,50,650,4,0,0,0,0,0,0,
Rashid Shaheed,WR,SEA,0,0,0,44,0,43,633,4,0,0,0,0,0,0,
Jauan Jennings,WR,MIN,0,0,0,0,0,48,601,4,0,0,0,0,0,0,
Brandon Aiyuk,WR,SF,0,0,0,7,0,45,591,4,0,0,0,0,0,0,
Deebo Samuel Sr.,WR,,0,0,0,67,1,42,472,4,0,0,0,0,0,0,
Jalen McMillan,WR,TB,0,0,0,30,0,40,514,4,0,0,0,0,0,0,
Jerry Jeudy,WR,CLE,0,0,0,5,0,43,581,3,0,0,0,0,0,0,
Tyreek Hill,WR,,0,0,0,6,0,41,528,4,0,0,0,0,0,0,
R. Flournoy,WR,DAL,0,0,0,12,0,45,523,3,0,0,0,0,0,0,
Tre' Harris,WR,LAC,0,0,0,6,0,39,493,4,0,0,0,0,0,0,
D. Stribling,WR,SF,0,0,0,0,0,42,541,3,0,0,0,0,0,0,
Tre Tucker,WR,LV,0,0,0,32,0,40,506,3,0,0,0,0,0,0,
Isaac TeSlaa,WR,DET,0,0,0,11,0,33,473,4,0,0,0,0,0,0,
T. Horton,WR,SEA,0,0,0,10,0,34,468,4,0,0,0,0,0,0,
T. Hurst,WR,TB,0,0,0,14,0,38,448,3,0,0,0,0,0,0,
Mike Washington Jr.,WR,MIA,0,0,0,121,0,37,396,2,0,0,0,0,0,0,
Z. Branch,WR,ATL,0,0,0,0,0,37,456,3,0,0,0,0,0,0,
Germie Bernard,WR,PIT,0,0,0,10,0,36,439,3,0,0,0,0,0,0,
T. Dell,WR,HOU,0,0,0,24,0,33,439,3,0,0,0,0,0,0,
Antonio Williams,WR,WAS,0,0,0,16,0,35,424,3,0,0,0,0,0,0,
Travis Hunter,WR,JAX,0,0,0,21,0,35,415,3,0,0,0,0,0,0,
Kayshon Boutte,WR,NE,0,0,0,0,0,31,456,3,0,0,0,0,0,0,
P. Bryant,WR,DEN,0,0,0,9,0,35,425,3,0,0,0,0,0,0,
S. Bell,WR,BUF,0,0,0,7,0,32,415,3,0,0,0,0,0,0,
K. Allen,WR,,0,0,0,0,0,38,390,3,0,0,0,0,0,0,
A. Iosivas,WR,CIN,0,0,0,10,0,32,403,3,0,0,0,0,0,0,
C. Bell,WR,MIA,0,0,0,4,0,33,398,3,0,0,0,0,0,0,
D. Vele,WR,NO,0,0,0,8,0,33,392,3,0,0,0,0,0,0,
J. Lane,WR,BAL,0,0,0,5,0,32,396,3,0,0,0,0,0,0,
E. Sarratt,WR,BAL,0,0,0,5,0,32,386,3,0,0,0,0,0,0,
Bijan Robinson,RB,ATL,0,0,0,1372,9,64,537,3,0,0,12,2,0,6,10
Jahmyr Gibbs,RB,DET,0,0,0,1191,10,60,508,3,0,0,11,2,0,4,7
Christian McCaffrey,RB,SF,0,0,0,984,7,70,606,4,0,0,11,2,0,4,6
Jonathan Taylor,RB,IND,0,0,0,1385,11,36,278,1,0,0,9,2,0,4,5
James Cook III,RB,BUF,0,0,0,1270,11,31,268,2,0,0,8,1,0,4,5
Derrick Henry,RB,BAL,0,0,0,1406,12,15,121,1,0,0,8,1,0,4,5
Ashton Jeanty,RB,LV,0,0,0,1152,8,50,383,2,0,0,7,0,0,3,4
Saquon Barkley,RB,PHI,0,0,0,1220,8,35,265,2,0,0,7,0,0,3,4
De'Von Achane,RB,MIA,0,0,0,1070,6,56,430,2,0,0,6,0,0,2,4
Omarion Hampton,RB,LAC,0,0,0,1015,8,48,364,2,0,0,6,0,0,2,4
Jeremiyah Love,RB,ARI,0,0,0,1003,6,53,397,2,0,0,5,0,0,2,4
Kenneth Walker III,RB,KC,0,0,0,1063,8,37,272,2,0,0,5,0,0,2,3
Chase Brown,RB,CIN,0,0,0,859,7,52,379,3,0,0,5,0,0,2,3
Travis Etienne Jr.,RB,NO,0,0,0,990,6,38,299,2,0,0,5,0,0,2,3
Breece Hall,RB,NYJ,0,0,0,1006,6,38,320,2,0,0,4,0,0,2,3
Josh Jacobs,RB,GB,0,0,0,918,8,33,258,1,0,0,4,0,0,1,3
